id,arrival,origin,destination
0,0.1764042051585204,1,0
1,0.7753557993751821,0,5
2,1.0872382563476464,0,4
3,1.585554496225536,1,1
4,3.246258475630964,0,3
5,5.3870345471204875,4,5
6,6.239172586728409,0,4
7,6.872826987056319,0,2
8,7.803402743729366,0,4
9,8.52370722918599,2,3
10,11.367880543662132,2,5
11,14.396807540792986,0,3
12,15.542576836036051,0,5
13,16.365948981929307,1,4
14,16.856145515192722,0,4
15,18.313671742922345,2,3
16,18.422421826813864,0,0
17,18.977680311214186,1,3
18,19.122925857824267,0,4
19,20.571662838206322,0,0
20,20.615929330920096,1,4
21,21.723333149986146,1,4
22,22.678514636038702,2,3
23,22.99429908390828,1,3
24,23.03381028780711,1,3
25,24.602375260253503,1,2
26,25.29245593554736,1,2
27,27.65150259545858,0,3
28,29.346825095250022,0,5
29,36.01565787002818,1,3
30,40.5431093887197,0,4
31,41.358371490203105,1,5
32,43.44414307401049,1,4
33,46.209473184051106,3,2
34,47.58366634616975,0,3
35,48.93011513535062,1,3
36,49.46267721090777,0,5
37,49.629197792919534,0,1
38,50.59491782711611,2,2
39,51.38710773352326,1,3
40,54.55339495443672,1,2
41,54.68824261367707,5,3
42,54.79692683805881,0,3
43,56.0707926951033,1,2
44,57.54136768478817,1,5
45,60.53043668798483,3,4
46,62.38363171566267,3,1
47,66.46275032741576,4,0
48,68.6860955243091,1,1
49,70.55996775676961,1,0
50,70.8737001455298,4,3
51,72.00362413284422,4,1
52,76.22819609343209,4,1
53,76.32222907353515,4,5
54,76.60985803788522,4,2
55,76.76055278216455,4,1
56,77.29950815741884,4,0
57,82.62090526312969,4,1
58,82.64746620649201,3,2
59,83.93893685841228,4,5
60,84.01841167399536,3,1
61,84.28839035855901,4,0
62,84.74149479983879,3,4
63,86.17220882907495,3,2
64,86.7091897954804,2,5
65,88.25100253010733,5,0
66,91.85583325159233,3,2
67,94.35794097102475,4,2
68,95.51443571135457,4,0
69,95.82198834723461,4,2
70,96.1644899394448,4,2
71,99.02371024034812,4,2
72,99.72848852677505,1,0
73,100.67362559757353,4,1
74,102.68806002382244,3,1
75,107.36359217645425,4,1
76,108.38863971204316,3,1
77,109.75817133055139,4,0
78,113.48107457567164,3,1
79,115.13218495112478,3,2
80,120.24114556132497,0,1
81,124.88395033981615,0,4
82,127.32791683052629,0,4
83,130.8762730607956,0,3
84,131.57947475800472,1,3
85,132.35410436508124,4,5
86,134.2580157217164,0,2
87,135.31825522315563,1,1
88,136.02577194489567,1,5
89,138.53408539066962,1,3
90,141.08320935641265,0,1
91,142.3469831831305,0,3
92,144.09721464513913,0,4
93,144.2614192698215,1,3
94,155.58335829364324,0,3
95,158.37419701095092,1,4
96,160.62118595190378,0,5
97,164.02429493012843,4,3
98,165.05465679530994,3,4
99,165.9284969644763,5,5
100,166.88657675252267,1,4
101,168.65716015136687,4,5
102,172.5110286457757,2,5
103,172.83971716012314,1,4
104,173.59056551643326,1,5
105,174.1735867008012,5,4
106,174.43683995701252,1,3
