id,arrival,origin,destination
0,0.67488028545031,0,0
1,1.367008330858141,5,4
2,1.6868915166230825,1,3
3,1.6877468697499245,4,4
4,2.9269762208220786,2,5
5,2.9484942123313775,0,4
6,3.485528315912844,5,2
7,4.3124420509355135,1,5
8,5.282660963745088,0,4
9,6.098266041342972,0,4
10,6.759711403157969,5,4
11,7.475546014541356,0,0
12,9.440190950297023,1,4
13,9.97309020363118,0,4
14,10.286173276850805,2,3
15,11.936218882442397,2,1
16,13.911232037474708,1,5
17,14.271408709815207,4,3
18,15.026696205960727,4,4
19,16.718946976128862,2,4
20,19.093284322212146,1,5
21,22.15794051033414,0,5
22,23.517746905470066,1,4
23,25.103727803320737,1,4
24,25.504683332436116,3,0
25,28.22385993816114,2,3
26,28.629927137568416,0,4
27,28.64040588302921,4,1
28,31.165187292791167,0,5
29,33.1883181778052,4,4
30,36.43651518905061,5,5
31,39.01465296477318,0,2
32,42.08026907128643,5,3
33,42.104963015062744,0,5
34,42.36419920435002,0,4
35,43.516673297619306,5,4
36,45.6932469809757,2,0
37,45.96309775024492,2,3
38,46.0355498372707,0,5
39,49.646584246653255,1,3
40,56.40151637321568,0,3
41,58.68359971362679,0,3
42,59.95432966209968,0,5
43,60.01535127267285,5,0
44,60.52779408484728,4,2
45,61.88241734130423,4,5
46,64.32357358666064,4,1
47,65.81063774444259,4,0
48,66.46018449356103,3,1
49,69.0630858934754,1,1
50,69.76033100932669,4,2
51,70.4260615493196,0,0
52,74.12119353411734,4,5
53,74.93201454150798,4,3
54,75.86159827531343,5,2
55,76.35442234276431,4,0
56,82.47560072202903,3,1
57,83.15711826656474,4,0
58,84.21180697920285,1,1
59,84.71472686203967,3,2
60,87.1157450321008,4,0
61,88.24518546280343,5,0
62,88.85300824954267,4,1
63,90.1196640779461,4,1
64,95.05545895734679,0,2
65,96.06570457652148,4,1
66,96.43642788758156,0,5
67,97.8585199602002,4,1
68,98.20113642738889,4,0
69,103.18045246608278,4,2
70,104.56792475947815,4,2
71,107.70715359299918,4,5
72,107.91433707737804,4,1
73,108.69201141596628,1,3
74,108.77824861074748,2,0
75,108.88534727413919,3,5
76,111.12836714140349,1,1
77,111.55680496414799,4,0
78,114.90419287837989,1,2
79,115.23696816903092,4,1
80,116.39284229914486,3,0
81,117.55818489453564,3,0
82,117.63833426894568,2,1
83,121.60892878987428,1,4
84,121.76682085505645,0,1
85,122.52608138399943,5,4
86,122.69991852379454,1,2
87,126.65493120210733,3,3
88,127.18310038892852,5,3
89,129.44385729243487,1,0
90,129.81653509879516,0,4
91,130.45111577405908,0,3
92,131.70719252291408,0,3
93,132.99492896789556,0,4
94,133.19786212269375,0,5
95,133.7405292134357,0,3
96,134.1974085057704,1,3
97,134.41102321315617,1,2
98,135.58221558374186,0,3
99,140.4060420430964,5,0
100,140.73878263234556,1,4
101,142.12537883527114,0,4
102,142.55876925309192,1,4
103,145.0154551302926,0,5
104,146.64457965012056,1,5
105,154.18514074596624,1,3
106,155.43179278293678,0,3
107,156.3066916822733,0,4
108,158.86528830968126,3,5
109,159.06876291154168,1,3
110,159.50575268558157,0,4
111,160.8648019216198,0,3
112,160.97741311083422,0,3
113,162.42078822399256,3,3
114,163.37423665227394,3,0
115,163.76052703130162,0,3
116,164.35559933193605,0,3
117,169.83482308105155,0,0
118,172.11965996592437,1,5
119,172.27762476577124,1,3
120,173.019605820338,0,4
121,174.00287550787849,1,3
122,175.64755842700907,1,4
123,175.86479855414728,1,0
124,178.86793236364113,0,4
125,179.9440102069893,2,5
